Dependencies
Dependency, Old Npm, Old Bower, New Npm
babel-polyfill, ^6.7.2, undefined, ^6.7.2
babel-runtime, ^6.6.1, undefined, ^6.6.1
bluebird, ^3.3.3, undefined, ^3.3.3
body-parser, ^1.13.3, undefined, ^1.13.3
composable-middleware, ^0.3.0, undefined, ^0.3.0
compression, ^1.5.2, undefined, undefined
connect-mongo, ^1.2.1, undefined, ^1.2.1
cookie-parser, ^1.3.5, undefined, ^1.3.5
ejs, ^2.3.3, undefined, ^2.5.3
errorhandler, ^1.4.2, undefined, ^1.4.2
excel-data, ^2.0.3, undefined, undefined
express, ^4.13.3, undefined, ^4.13.3
express-handlebars, ^3.0.0, undefined, undefined
express-jwt, ^3.0.0, undefined, ^5.0.0
express-session, ^1.11.3, undefined, ^1.11.3
fs, 0.0.2, undefined, undefined
googleapis, ^12.2.0, undefined, undefined
jsonwebtoken, ^7.0.0, undefined, ^7.0.0
lodash, ^4.6.1, ~2.4.1, ^4.6.1
lusca, ^1.3.0, undefined, ^1.3.0
method-override, ^2.3.5, undefined, ^2.3.5
mongoose, ^4.1.2, undefined, ^4.1.2
morgan, ~1.7.0, undefined, ~1.7.0
node-find-files, 0.0.4, undefined, undefined
passport, ~0.3.0, undefined, ~0.3.0
passport-google-oauth20, ^1.0.0, undefined, ^1.0.0
passport-local, ^1.0.0, undefined, ^1.0.0
serve-favicon, ^2.3.0, undefined, ^2.3.0
socket.io, ^1.3.5, undefined, ^1.3.5
socket.io-client, ^1.3.5, undefined, ^1.3.5
socketio-jwt, ^4.2.0, undefined, ^4.2.0
xlsx, ^0.8.0, undefined, undefined
angular, undefined, ~1.5.0, ~1.6.0
json3, undefined, ~3.3.1, undefined
es5-shim, undefined, ~3.0.1, undefined
bootstrap, undefined, ^3.3.7, ~3.3.7
bootstrap-social, undefined, ~4.9.1, ^5.0.0
angular-resource, undefined, ~1.5.0, ~1.6.0
angular-cookies, undefined, ~1.5.0, ~1.6.0
angular-sanitize, undefined, ~1.5.0, ~1.6.0
angular-ui-select, undefined, ^0.19.4, undefined
angular-bootstrap, undefined, ~1.1.2, undefined
angular-animate, undefined, ~1.5.8, ~1.6.0
font-awesome, undefined, >=4.1.0, >=4.1.0
ngToast, undefined, ngtoast#^2.0.0, undefined
angular-socket-io, undefined, ~0.7.0, ~0.7.0
angular-ui-router, undefined, ~0.2.15, ~0.3.1
angular-validation-match, undefined, ~1.5.2, ^1.9.0
angular-ui-bootstrap, undefined, ^1.3.3, ^2.0.1
angular-bootstrap-lightbox, undefined, ^0.12.0, undefined
